Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY0-1337	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-2	TAX-511145	RXN-12567 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-11667 // BUTYRYL-COA-DEHYDROGENASE-RXN // RXN-12565 // RXN-12570 // RXN-14278 // RXN-14277 // RXN-20679 // RXN-20678 // RXN-14229 // RXN-13617 // RXN-12490 // RXN-13616 // RXN-13615 // RXN-14274 // RXN-20676 // RXN-20675 // RXN-9644 // RXN-7931 // RXN-14394 // RXN-14393 // RXN-17775 // RXN-17776 // RXN-17777 // RXN-17778 // RXN-17779 // RXN-17780 // RXN-17781 // RXN-17782 // RXN-17783 // RXN0-5393 // RXN0-5390 // RXN0-5391
PWY-5538	Super-Pathways // Energy-Metabolism	Pyruvate-Acetate-Fermentation // Super-Pathways	TAX-4751 // TAX-5719	TAX-56690 // TAX-73818 // TAX-5722	PYRUFLAVREDUCT-RXN // SUCCCOASYN-RXN // PWY-5536
PWY-6511	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-321 // TAX-1295550	RXN-7564 // RXN-11457 // RXN-11456
PWY-5509	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2 // TAX-2157	TAX-2283 // TAX-1752 // TAX-43306 // TAX-90371	DMBPPRIBOSYLTRANS-RXN // RXN-8770 // COBALAMIN5PSYN-RXN
PWY-5138	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-33090	TAX-3659 // ORG-5993	RXN-7699 // RXN-7835 // ENOYL-COA-HYDRAT-RXN // OHBUTYRYL-COA-EPIM-RXN // RXN-7836
PWY-7021	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-2	TAX-1906	PWY-7015 // PWY-7014 // PWY-7016
PWY-622	Glycan-Pathways // Carbohydrates-Biosynthesis	GLYCOGEN-BIOSYN	TAX-2763 // TAX-1117 // TAX-33090	TAX-3055 // TAX-4513 // TAX-3983 // TAX-4097 // TAX-4530 // TAX-3888 // TAX-4113 // TAX-4565 // TAX-4577 // ORG-5993	PHOSPHOGLUCMUT-RXN // PGLUCISOM-RXN // RXN-14380 // RXN-14378 // RXN-14374 // RXN-14373 // RXN-14371 // RXN-14372 // GLYCOGENSYN-RXN // GLUC1PADENYLTRANS-RXN
PWY-7964	Cofactor-Biosynthesis	Adenosylcobamide-Biosynthesis	TAX-2157 // TAX-2	TAX-1748 // TAX-1176 // TAX-1494 // TAX-1553 // TAX-1598 // TAX-2182 // TAX-2188 // TAX-2315 // TAX-1178 // TAX-2333 // TAX-90371 // TAX-1148	RXN-19295 // RXN-19308 // RXN-19310
PWY-7291	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-7931 // RXN-14577 // RXN-14576 // RXN-14575
PWY-7570	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-68214 // TAX-1970	RXN-14065 // RXN-15939 // RXN-15935 // RXN-15936 // RXN-15937 // RXN-15938 // RXN-15929 // RXN-15928 // RXN-15927 // RXN-15930
P381-PWY	Super-Pathways // Cofactor-Biosynthesis	De-Novo-Adenosylcobalamin-Biosynthesis // Super-Pathways	TAX-2 // TAX-2157	TAX-29459 // TAX-43306 // TAX-1061 // TAX-382	PWY-7962 // PWY-5523 // PWY-5443 // PWY-5188 // PWY-7376 // PWY-5509
PWY-7337	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-14781 // RXN-14780 // RXN-14779 // RXN-14778 // RXN-14777 // RXN-14776 // RXN-14775 // RXN-14774 // RXN-14773 // RXN-14772 // RXN-14771 // RXN-14770
PWY-6598	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-131567	TAX-212809	RXN-11677 // RXN-16097 // RXN-16096 // RXN-16095 // RXN-16094
PWY-7733	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-349725 // TAX-497689 // ORG-6291	RXN-17151 // RXN-17143 // RXN-17142 // RXN-17150 // RXN-17149 // RXN-17148 // RXN-17147 // RXN-17146
PWY-5507	Super-Pathways // Cofactor-Biosynthesis	De-Novo-Adenosylcobalamin-Biosynthesis // Super-Pathways	TAX-2157 // TAX-2	TAX-1404 // TAX-1097 // TAX-173 // TAX-2190 // TAX-145262 // TAX-1744 // TAX-1752 // TAX-90371	PWY-7729 // PWY-7962 // PWY-5443 // PWY-5188 // PWY-5509 // PWY-7377
PWY-7340	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-14804 // RXN-14803 // RXN-14802 // RXN-14801 // RXN-14800 // RXN-14799 // RXN-14798 // RXN-14797 // RXN-14796 // RXN-14795
PWY-7590	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-33090	TAX-3708 // TAX-3562 // ORG-5993	RXN-16049 // RXN-16047 // RXN-16048
PWY-8032	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-54571	RXN-20205 // RXN-20204 // RXN-20203 // PABASYN-RXN // RXN-20192 // RXN-20193 // RXN-20194 // RXN-20195 // RXN-20196
PWY-7729	Cofactor-Biosynthesis	DMB-Biosynthesis	TAX-2	TAX-33952 // TAX-281689 // TAX-1736	RXN-17122 // RXN-17123 // RXN-17124 // RXN-17125
PWY-2501	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-3193	TAX-3659 // TAX-4097 // TAX-3888 // TAX-4113 // ORG-5993	RXN-4142 // RXN-4141 // RXN-4122 // RXN-4121
PWY-7619	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-2759	TAX-212809	RXN-12997 // RXN-13001 // RXN-12994 // RXN-13441 // RXN-11678
PWY-8366	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-68197	RXN-23137 // RXN-23131 // RXN-23132 // RXN-23133 // RXN-23136 // RXN-23135 // RXN-23134
PWY-5523	Cofactor-Biosynthesis	DMB-Biosynthesis	TAX-2	TAX-1404 // TAX-1423 // TAX-43354 // TAX-1744 // TAX-1061 // TAX-382 // ORG-6144	RXN-8771 // FMNREDUCT-RXN // RIBOFLAVINKIN-RXN
PWY-8354	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-2	TAX-62977 // TAX-381666 // TAX-294 // TAX-1076	RXN-3641 // RXN0-2044 // RXN-2425 // RXN-22997 // RXN-22974
PWY-6013	Lipid-Biosynthesis	Acetlylenic-Fatty-Acid-Biosynthesis // PUFA-Biosynthesis	TAX-4751 // TAX-33090	TAX-75102 // TAX-72610	1.14.99.33-RXN
PWY-5818	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-311982 // TAX-1133850 // TAX-264445 // ORG-6031	RXN-17383 // RXN-17381 // RXN-17380 // RXN-17379 // RXN-17378 // RXN-17377 // RXN-17376 // RXN-9148 // RXN-9146 // RXN-9144 // RXN-9142 // RXN-9141 // RXN-9140
PWY-7870	Amino-Acid-Biosynthesis	CYSTEINE-SYN	TAX-2	TAX-511145	PRODISULFREDUCT-A-RXN // SERINE-O-ACETTRAN-RXN // SULFOCYS-RXN // RXN-18586
PWY-5137	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-2 // TAX-2157 // TAX-2759	TAX-3659 // TAX-511145 // TAX-9606 // TAX-4932 // ORG-5993	ENOYL-COA-DELTA-ISOM-RXN
PWY-7152	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-33090	TAX-3055	RXN-13857 // RXN-13858
PWY-6682	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-1883	TAX-67320	RXN-21178 // RXN-21177 // RXN-21175 // RXN-21176 // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN // RXN-9009 // RXN-12007 // RXN-12008 // RXN-12009 // RXN-12010 // RXN-12011 // RXN-12012
PWY-I9	Super-Pathways // Amino-Acid-Biosynthesis	CYSTEINE-SYN // Super-Pathways	TAX-2	TAX-85962	SERINE-O-ACETTRAN-RXN // RXN-17600 // RXN-15130 // RXN-7605 // SAM-PWY // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY66-391	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-7742	TAX-7955 // TAX-9606 // TAX-10090 // TAX-10116	RXN-11026 // RXN66-485 // RXN-7699 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN
PWY-7596	Super-Pathways // Lipid-Biosynthesis	PUFA-Biosynthesis // Super-Pathways	TAX-1117	TAX-118562 // TAX-1148	PWY-7587 // PWY-7593 // PWY-7594 // PWY-7595
PWY-7653	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-4751	TAX-36650	RXN-16539 // RXN-16538 // RXN-16537 // RXN-16536 // RXN-16535 // RXN-16534 // RXN-16533 // RXN-16532 // RXN-16531
PWY-6292	Super-Pathways // Amino-Acid-Biosynthesis	CYSTEINE-SYN // Super-Pathways	TAX-33154 // TAX-2157 // TAX-2	TAX-9606 // TAX-10116	HOMOCYSDEGR-PWY // METHIONINE-DEG1-PWY
PWY-7288	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-Degradation	TAX-4751	TAX-4932	RXN-11026 // KETOACYLCOATHIOL-RXN // RXN66-485 // RXN-7699 // ACYLCOASYN-RXN
PWY-7728	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-2759	TAX-9606	RXN-17118 // RXN-16114 // RXN-16113 // RXN-16112 // RXN-16079
PWY-7737	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-349725 // ORG-6291	RXN-21712 // RXN-11115 // RXN-17169 // RXN-17173 // RXN-17172 // RXN-17171 // RXN-17170
PWY-7289	Amino-Acid-Biosynthesis	CYSTEINE-SYN	TAX-2	TAX-1773 // TAX-83332	RXN-14567 // RXN-14564 // RXN-14565 // RXN-14566
PWY-6199	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-33090	TAX-4224 // TAX-4228 // ORG-5993	RXN-10244 // RXN-8262 // RXN-10138 // RXN-10132 // RXN-10131 // RXN-10130 // 2.8.2.28-RXN // 2.8.2.27-RXN // 2.8.2.26-RXN // FLAVONOL-3-SULFOTRANSFERASE-RXN
PWY-6603	Lipid-Biosynthesis // Metabolic-Clusters	Acetlylenic-Fatty-Acid-Biosynthesis // Metabolic-Clusters // PUFA-Biosynthesis	TAX-3208	TAX-3225 // TAX-3222	RXN-8347 // RXN-11680 // RXN-11681 // RXN-11682
PWY-8035	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-1760	TAX-68270	RXN-20275 // RXN-20266 // RXN-20260 // RXN-20264 // RXN-20259 // RXN-20258 // RXN-20272 // RXN-20271 // RXN-20270 // RXN-20269 // RXN-20268
PWY-8010	Amino-Acid-Biosynthesis	CYSTEINE-SYN	TAX-5719 // TAX-2157	TAX-311400 // TAX-56636 // TAX-5722	2.5.1.65-RXN // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
PWY-7137	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-4058 // TAX-37656 // TAX-128735	RXN1F-462 // RXN-13799 // RXN-13798 // RXN-13797
PWY-7595	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-1117	TAX-118562 // TAX-1148	RXN-16070
PWY-8369	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // Super-Pathways	TAX-201174	TAX-2893586	PWY-7287 // PWY-7304 // PWY-7301 // PWY-7303
HOMOCYSDEGR-PWY	Amino-Acid-Degradation // Amino-Acid-Biosynthesis	CYSTEINE-SYN // HOMOCYSTEINE-DEG	TAX-33208 // TAX-2157 // TAX-2	TAX-9606 // TAX-1613 // TAX-10116 // TAX-1883	RXN-15130 // CYSTATHIONINE-BETA-SYNTHASE-RXN
PWY-7448	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-4442 // TAX-38942	RXN-15320 // RXN-15319 // RXN-15318 // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN
PWY-7726	Lipid-Biosynthesis	PUFA-Biosynthesis	TAX-2759	TAX-9606	RXN-17116 // RXN-17115 // RXN-17114 // RXN-17113 // RXN-17112 // RXN-17111 // RXN-17110 // RXN-17109 // RXN-16081 // RXN-16114 // RXN-16113 // RXN-16112 // RXN-16079
PWY-5930	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2063	ORG-6042	RXN-9460 // RXN-9456 // RXN-9455
PWY-6308	Aminoacyl-tRNAs-Charging // Amino-Acid-Biosynthesis	Aminoacyl-tRNAs-Charging // CYSTEINE-SYN	TAX-28890	TAX-2234 // TAX-2190 // TAX-39152	RXN-16637 // RXN-10718 // RXN-10719
PWY-3101	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-58024	TAX-4058 // TAX-55188 // TAX-62330 // TAX-3311 // TAX-3750 // TAX-3879 // TAX-4102 // TAX-3893 // TAX-3895 // ORG-5993	RXN-8450 // RXN-13718 // RXN-7782 // RXN-12510 // RXN1F-93 // RXN-527 // RXN-525
PWY-5353	Lipid-Biosynthesis	Arachidonate-Biosynthesis	TAX-4751 // TAX-3041 // TAX-3208	TAX-64518 // TAX-3218	RXN-16044 // RXN-16043 // RXN-11680 // RXN-12968 // RXN-12971 // RXN-12969 // RXN-12777 // RXN-8346
PWY-6722	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-1883	TAX-1911 // TAX-206662	RXN0-5055 // RXN-15975 // RXN-15971 // RXN-15954 // RXN-12162 // RXN-12161
PWY-8009	Amino-Acid-Biosynthesis	CYSTEINE-SYN	TAX-2279 // TAX-2273 // TAX-2260 // TAX-2263	TAX-2275 // TAX-2280 // TAX-311400	RXN-19824 // 2.5.1.65-RXN
PWY-7149	Super-Pathways // AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN // Super-Pathways	TAX-91827	TAX-36749	PWY-7150 // PWY-7151
PWY-7601	Lipid-Biosynthesis	Arachidonate-Biosynthesis	TAX-2759	TAX-5756 // TAX-3039 // TAX-9606 // TAX-37099 // TAX-298111 // TAX-561169 // TAX-5908	RXN-8346 // RXN-16099 // RXN-16098 // RXN-16097 // RXN-16096 // RXN-16095 // RXN-16094
PWY-7354	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2062	TAX-33899	RXN-17998 // RXN-14875 // RXN-14874 // RXN-14688 // RXN-14689 // RXN-14851 // RXN-14852 // RXN-14853 // RXN-14854 // RXN-14818 // RXN-14844 // RXN-14831 // RXN-14846
CYSTSYN-PWY	Amino-Acid-Biosynthesis	CYSTEINE-SYN	TAX-2157 // TAX-2 // TAX-33090	TAX-511145 // TAX-2208 // TAX-90371 // ORG-5993	ACSERLY-RXN // SERINE-O-ACETTRAN-RXN
PWY-5321	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3700	ORG-5993	RXN-14000 // RXN-14012 // RXN-13797 // RXN-14011 // RXNQT-4161 // RXNQT-4162 // RXN-8271 // RXN-8268 // RXN-8267 // RXN-8265 // RXN-8264 // RXN1F-462
PWY-7592	Super-Pathways // Lipid-Biosynthesis	Arachidonate-Biosynthesis // Super-Pathways	TAX-33208	TAX-9606	PWY-6000 // RXN-16064 // RXN-12968 // RXN-12971 // RXN-12969 // RXN-12777
PWY-7669	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis // POLYKETIDE-SYN	TAX-4751	TAX-42747	RXN-16694 // RXN-16693 // RXN-16692
PWY-6293	Super-Pathways // Amino-Acid-Biosynthesis	CYSTEINE-SYN // Super-Pathways	TAX-4751	TAX-4932	PWY-801 // PWY-5344
PWY-5390	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-149691 // TAX-3617 // TAX-62330 // TAX-3916	RXN1F-462 // RXN-527 // RXN-8449
PWY-7583	Lipid-Biosynthesis	Arachidonate-Biosynthesis	TAX-2	TAX-365033	RXN-16016
PWY-7797	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-2	TAX-40567 // TAX-96045	RXN-17843 // RXN-17838 // RXN-17837 // RXN-17833 // RXN-17832 // RXN-17831
PWY-1269	Carbohydrates-Biosynthesis	CMP-KDO-Biosynthesis	TAX-1117 // TAX-33090 // TAX-1783257 // TAX-1224	TAX-469008 // TAX-511145 // TAX-4577 // ORG-5993	RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN
PWY-7166	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-91827	TAX-3570 // TAX-4307 // TAX-62890	RXN-13943 // RXN-13942 // RXN-13941 // 2.1.1.155-RXN
PWY-7725	Lipid-Biosynthesis	Arachidonate-Biosynthesis	TAX-2759	TAX-9606	RXN-16064 // RXN-17105 // RXN-16097 // RXN-16096 // RXN-16095 // RXN-16094
PWY-8039	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-201174	TAX-53502 // TAX-1914 // TAX-29309	RXN-16272 // RXN-20326 // RXN-20325 // RXN-16271 // RXN-20324 // RXN-20323 // RXN-20322 // RXN-20321 // RXN-20320 // RXN-20315 // RXN-20316 // RXN-20317 // RXN-20318 // RXN-20319
PWY-7912	Bioluminescence	Bioluminescence	TAX-2864	TAX-2926 // TAX-160621 // TAX-2966 // TAX-376353 // TAX-295513 // TAX-2972 // TAX-66792	RXN-18837 // RXN-12115
PWY-6064	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-58023 // TAX-3195 // TAX-3208	TAX-36749 // TAX-3847 // ORG-5993	RXN-8262 // QUERCETIN-3-O-METHYLTRANSFERASE-RXN
PWY-6416	CYCLITOLS-DEG	Quinate-Degradation	TAX-1239 // TAX-201174 // TAX-4751	TAX-340322 // TAX-1718 // TAX-1814 // TAX-162425 // TAX-5141	QUINATE-5-DEHYDROGENASE-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // DHSHIKIMATE-DEHYDRO-RXN
PWY-8381	SECONDARY-METABOLITE-BIOSYNTHESIS	Antibiotic-Biosynthesis	TAX-119060	TAX-1912599	RXN-23291 // RXN-18393 // RXN-18395 // RXN-19819 // RXN-23290 // RXN-17190 // RXN-23280 // RXN-23281 // RXN-23284 // RXN-23285 // RXN-23286 // RXN-23287 // RXN-23288 // RXN-23279 // RXN-23278 // RXN-23277
PWY-7915	Bioluminescence	Bioluminescence	TAX-6073	TAX-2747904 // TAX-6100	RXN-18874 // RXN-18869 // RXN-18865 // RXN-18868 // RXN-18862 // RXN-18860 // RXN-18861
PWY-7172	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-58024	TAX-3349	RXN-13988 // RXN-13987 // RXN-13986 // RXN-13985 // RXN-13984 // RXN-13983 // RXN1F-462
QUINATEDEG-PWY	CYCLITOLS-DEG	Quinate-Degradation	TAX-2	TAX-62977 // TAX-442	3-DEHYDROQUINATE-DEHYDRATASE-RXN // DHSHIKIMATE-DEHYDRO-RXN // 1.1.99.25-RXN
PWY-7407	SECONDARY-METABOLITE-BIOSYNTHESIS	Aurachin-Biosynthesis	TAX-2	TAX-675526	RXN-17356 // RXN-17336 // RXN-17334 // RXN-15022 // RXN-15021 // AMINOBENZCOALIG-RXN // RXN-15028 // RXN-15027 // RXN-15030 // RXN-15029 // RXN-15026
PWY-7723	Bioluminescence	Bioluminescence	TAX-267890 // TAX-543 // TAX-641	TAX-668 // TAX-658 // TAX-659 // TAX-669	RXN-17108 // RXN-16395 // FMNREDUCT-RXN // RXN-12444 // RXN-9510 // ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN // 6.2.1.19-RXN // RXN-17107
PWY-7192	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-4102	RXN-14110 // RXN-14109
PWY-7405	SECONDARY-METABOLITE-BIOSYNTHESIS	Aurachin-Biosynthesis	TAX-2	ORG-6248	AMINOBENZCOALIG-RXN // RXN-15024 // RXN-15023 // RXN-15022 // RXN-15021
PWY-7914	Bioluminescence	Bioluminescence	TAX-6073	TAX-37510 // TAX-6136	RXN-18875 // RXN-18867 // RXN-18865 // RXN-18866 // RXN-18859 // RXN-18858 // RENILLA-LUCIFERIN-SULFOTRANSFERASE-RXN
PWY-7143	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-4058 // TAX-37656 // TAX-128735	RXN-13830 // RXN1F-461
PWY-7469	AROMATIC-COMPOUNDS-DEGRADATION	Gentisate-Degradation	TAX-2	ORG-5928	1.1.1.83-RXN // MALEATE-HYDRATASE-RXN // RXN-10447 // GENTISATE-12-DIOXYGENASE-RXN
PWY-7937	Bioluminescence	Bioluminescence	TAX-5338	TAX-658473 // TAX-1069186 // TAX-71958	RXN-19127 // RXN-19086 // RXN-19088 // RXN-19087 // RXN-19085
PWY-7995	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3398	TAX-39947 // TAX-48386	RXN-19652 // RXN-12616 // RXN66-587 // RXN-7650 // RXN-11583
PWY-6223	AROMATIC-COMPOUNDS-DEGRADATION	Gentisate-Degradation	TAX-2157 // TAX-2	TAX-1718 // TAX-196627 // TAX-78509 // TAX-290336 // TAX-70356 // TAX-933800 // TAX-90371 // TAX-235278 // ORG-5928	RXN-10445 // MALEYLPYRUVATE-ISOMERASE-RXN // GENTISATE-12-DIOXYGENASE-RXN
PWY-7913	Bioluminescence	Bioluminescence	TAX-7049	TAX-7052 // TAX-27446 // TAX-7054	RXN-18878 // RXN-18877 // RXN-18851 // RXN-18850 // RXN-18848 // RXN-18847 // RXN-18846 // RXN-18845 // RXN-18840 // RXN-18842 // RXN-18841 // RXN-18839 // RXN-18843 // RXN-18844
PWY-5320	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-3700	ORG-5993	RXN-14009 // RXN-8289 // RXN-14008 // RXN-13830 // RXN-8270 // RXN-8266 // RXN-8263 // RXN1F-475 // RXN1F-474 // RXN1F-443 // RXN1F-461
BETSYN-PWY	Polyamine-Biosynthesis // Metabolic-Regulators	Betaine-Biosynthesis	TAX-1224	TAX-158080 // TAX-511145	BADH-RXN // CHD-RXN
PWY-7916	Bioluminescence	Bioluminescence	TAX-6447	TAX-6625	RXN-18900 // RXN-18873 // RXN-18872 // RXN-18871
PWY-7151	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-91827	TAX-36749	RXN-13878 // RXN-13877 // RXN-13875 // RXN-13874 // RXN-13855 // RXN-13851 // RXN-13850 // RXN-13849 // RXN-13848 // RXN-13847 // RXN-13843 // RXN-13842 // RXN-9817 // RXN-9815 // 2.1.1.84-RXN // RXN-13839
GALACTCAT-PWY	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-2157 // TAX-2	TAX-511145 // TAX-2287 // TAX-273057 // ORG-5916	GALACTONDEHYDRAT-RXN // DEHYDDEOXPHOSGALACT-ALDOL-RXN // DEHYDDEOXGALACTKIN-RXN
PWY-3722	Polyamine-Biosynthesis // Metabolic-Regulators	Betaine-Biosynthesis	TAX-1239	TAX-1423	BADH-RXN // RXN-6021
PWY-7378	Cofactor-Biosynthesis	Aminopropanol-Phosphate-Biosynthesis	TAX-2	TAX-511145 // TAX-43306	RXN-8627 // AMINOPROPDEHYDROG-RXN // THREOSPON-RXN // THREODEHYD-RXN
PWY-5363	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-4037	TAX-4043	RXN-8379
PWY-7242	Carbohydrates-Degradation // CARBOXYLATES-DEG	SUGAR-ACIDS-DEG	TAX-2	TAX-63363 // TAX-1423 // TAX-1488 // TAX-1299 // TAX-511145 // TAX-727 // TAX-287 // TAX-2336	KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
PWY1F-353	Polyamine-Biosynthesis // Metabolic-Regulators	Betaine-Biosynthesis	TAX-33090	ORG-5993 // TAX-3562	RXN-6268 // BADH-RXN // RXN1F-357
PWY-5443	Cofactor-Biosynthesis	Aminopropanol-Phosphate-Biosynthesis	TAX-2157 // TAX-2	TAX-192952 // TAX-43306 // TAX-272943 // TAX-90371	4.1.1.81-RXN // RXN-8626
PWY-7163	AROMATIC-COMPOUNDS-BIOSYN	FLAVONOL-SYN	TAX-91827	TAX-3570 // TAX-62890 // TAX-4081	RXN-13937 // RXN-13936 // RXN-13935 // 2.1.1.155-RXN
PWY0-1306	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-2	TAX-435590 // TAX-511145	RXN0-5229
P541-PWY	Polyamine-Biosynthesis // Metabolic-Regulators	Betaine-Biosynthesis	TAX-2 // TAX-2157	TAX-1850 // TAX-72020 // TAX-1052 // TAX-39664	RXN-9680 // RXN-9679 // GLYCINE-N-METHYLTRANSFERASE-RXN
PWY-5921	Aminoacyl-tRNAs-Charging	Aminoacyl-tRNAs-Charging	TAX-2759 // TAX-2 // TAX-2157	TAX-1423 // TAX-1299 // TAX-1422 // TAX-210 // TAX-187420 // ORG-5993	GLUTAMIN-RXN // RXN-20083 // RXN-20082 // RXN-9386
PWY-6035	AROMATIC-COMPOUNDS-BIOSYN // Metabolic-Clusters	FLAVONOL-SYN // Metabolic-Clusters	TAX-33090	TAX-47247 // TAX-3880 // ORG-5993	RXN-9723 // RXN-9724 // RXN-9725
KETOGLUCONMET-PWY	Super-Pathways // CARBOXYLATES-DEG	Aldonate-Degradation // Super-Pathways	TAX-2	TAX-511145 // ORG-6226	RXN0-7021 // RXN0-7020 // 1.1.1.274-RXN // IDNCAT-PWY // 1.1.1.215-RXN // YIAE1-RXN
TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging // Metabolic-Clusters	Aminoacyl-tRNAs-Charging // Metabolic-Clusters	TAX-2759 // TAX-2 // TAX-2157	TAX-1299 // TAX-511145	RXN-16165 // GLYCINE--TRNA-LIGASE-RXN // HISTIDINE--TRNA-LIGASE-RXN // LYSINE--TRNA-LIGASE-RXN // METHIONINE--TRNA-LIGASE-RXN // PHENYLALANINE--TRNA-LIGASE-RXN // PROLINE--TRNA-LIGASE-RXN // SERINE--TRNA-LIGASE-RXN // THREONINE--TRNA-LIGASE-RXN // TRYPTOPHAN--TRNA-LIGASE-RXN // TYROSINE--TRNA-LIGASE-RXN // ASPARTATE--TRNA-LIGASE-RXN // ASPARAGINE--TRNA-LIGASE-RXN // ALANINE--TRNA-LIGASE-RXN // VALINE--TRNA-LIGASE-RXN // LEUCINE--TRNA-LIGASE-RXN // ISOLEUCINE--TRNA-LIGASE-RXN // GLURS-RXN // GLUTAMINE--TRNA-LIGASE-RXN // CYSTEINE--TRNA-LIGASE-RXN // ARGININE--TRNA-LIGASE-RXN
